日給上限（以上）,日給下限（未満）,源泉徴収額
0,2900,0
2900,2950,0
2950,3000,0
3000,3050,0
3050,3100,0
3100,3150,0
3150,3200,0
3200,3250,0
3250,3300,0
3300,3400,0
3400,3500,0
3500,3600,0
3600,3700,0
3700,3800,0
3800,3900,0
3900,4000,0
4000,4100,0
4100,4200,0
4200,4300,0
4300,4400,0
4400,4500,0
4500,4600,0
4600,4700,0
4700,4800,0
4800,4900,0
4900,5000,0
5000,5100,0
5100,5200,0
5200,5300,0
5300,5400,0
5400,5500,0
5500,5600,0
5600,5700,0
5700,5800,0
5800,5900,0
5900,6000,0
6000,6100,0
6100,6200,0
6200,6300,0
6300,6400,0
6400,6500,0
6500,6600,0
6600,6700,0
6700,6800,0
6800,6900,0
6900,7000,0
7000,7100,0
7100,7200,0
7200,7300,0
7300,7400,0
7400,7500,0
7500,7600,0
7600,7700,0
7700,7800,0
7800,7900,0
7900,8000,0
8000,8100,0
8100,8200,0
8200,8300,0
8300,8400,0
8400,8500,0
8500,8600,0
8600,8700,0
8700,8800,0
8800,8900,0
8900,9000,0
9000,9100,0
9100,9200,0
9200,9300,0
9300,9400,3
9400,9500,6
9500,9600,10
9600,9700,13
9700,9800,17
9800,9900,20
9900,10000,24
10000,10100,27
10100,10200,31
10200,10300,34
10300,10400,38
10400,10500,41
10500,10600,45
10600,10700,49
10700,10800,53
10800,10900,56
10900,11000,60
11000,11100,63
11100,11200,67
11200,11300,70
11300,11400,74
11400,11500,77
11500,11600,81
11600,11700,84
11700,11800,88
11800,11900,91
11900,12000,95
12000,12100,99
12100,12200,103
12200,12300,106
12300,12400,110
12400,12500,113
12500,12600,117
12600,12700,120
12700,12800,124
12800,12900,127
12900,13000,131
13000,13100,134
13100,13200,138
13200,13300,141
13300,13400,146
13400,13500,149
13500,13600,153
13600,13700,156
13700,13800,160
13800,13900,164
13900,14000,168
14000,14100,172
14100,14200,176
14200,14300,180
14300,14400,184
14400,14500,188
14500,14600,192
14600,14700,197
14700,14800,201
14800,14900,205
14900,15000,209
15000,15100,213
15100,15200,217
15200,15300,221
15300,15400,225
15400,15500,229
15500,15600,233
15600,15700,237
15700,15800,241
15800,15900,246
15900,16000,250
16000,16100,254
16100,16200,258
16200,16300,262
16300,16400,266
16400,16500,270
16500,16600,274
16600,16700,278
16700,16800,282
16800,16900,286
16900,17000,290
17000,17100,295
17100,17200,299
17200,17300,303
17300,17400,307
17400,17500,311
17500,17600,315
17600,17700,319
17700,17800,323
17800,17900,327
17900,18000,331
18000,18100,335
18100,18200,339
18200,18300,344
18300,18400,348
18400,18500,352
18500,18600,356
18600,18700,360
18700,18800,364
18800,18900,368
18900,19000,372
19000,19100,376
19100,19200,384
19200,19300,393
19300,19400,401
19400,19500,409
19500,19600,417
19600,19700,425
19700,19800,433
19800,19900,442
19900,20000,450
20000,20100,458
20100,20200,466
20200,20300,474
20300,20400,482
20400,20500,491
20500,20600,499
20600,20700,507
20700,20800,515
20800,20900,523
20900,21000,531
21000,21100,540
21100,21200,548
21200,21300,556
21300,21400,564
21400,21500,572
21500,21600,580
21600,21700,589
21700,21800,597
21800,21900,605
21900,22000,613
22000,22100,621
22100,22200,629
22200,22300,638
22300,22400,646
22400,22500,654
22500,22600,662
22600,22700,670
22700,22800,678
22800,22900,687
22900,23000,695
23000,23100,703
23100,23200,711
23200,23300,719
23300,23400,727
23400,23500,736
23500,23600,744
23600,23700,752
23700,23800,760
23800,23900,768
23900,24000,776